v3 #th: 1 ; #ch: 1 ; #blocks: 1289 ; bsize: 1024 ; nb: 1320; #samples: 1320000 ; Tot time:  0.04694 s. ; Time/block:   0.04 ms.
v3 #th: 1 ; #ch: 1 ; #blocks: 1289 ; bsize: 1024 ; nb: 1320; #samples: 1320000 ; Tot time:  0.04590 s. ; Time/block:   0.04 ms.
v3 #th: 1 ; #ch: 1 ; #blocks: 1289 ; bsize: 1024 ; nb: 1320; #samples: 1320000 ; Tot time:  0.04584 s. ; Time/block:   0.04 ms.
v3 #th: 1 ; #ch: 1 ; #blocks: 1289 ; bsize: 1024 ; nb: 1320; #samples: 1320000 ; Tot time:  0.04545 s. ; Time/block:   0.04 ms.
v3 #th: 1 ; #ch: 1 ; #blocks: 1289 ; bsize: 1024 ; nb: 1320; #samples: 1320000 ; Tot time:  0.04541 s. ; Time/block:   0.04 ms.
v3 #th: 1 ; #ch: 1 ; #blocks: 1289 ; bsize: 1024 ; nb: 1320; #samples: 1320000 ; Tot time:  0.04456 s. ; Time/block:   0.03 ms.
v3 #th: 1 ; #ch: 1 ; #blocks: 1289 ; bsize: 1024 ; nb: 1320; #samples: 1320000 ; Tot time:  0.04504 s. ; Time/block:   0.03 ms.
v3 #th: 1 ; #ch: 1 ; #blocks: 1289 ; bsize: 1024 ; nb: 1320; #samples: 1320000 ; Tot time:  0.04477 s. ; Time/block:   0.03 ms.
v3 #th: 1 ; #ch: 1 ; #blocks: 1289 ; bsize: 1024 ; nb: 1320; #samples: 1320000 ; Tot time:  0.04589 s. ; Time/block:   0.04 ms.
v3 #th: 1 ; #ch: 1 ; #blocks: 1289 ; bsize: 1024 ; nb: 1320; #samples: 1320000 ; Tot time:  0.04525 s. ; Time/block:   0.04 ms.
