v3 #th: 3 ; #ch: 1 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  2.07899 s. ; Time/block:   2.42 ms.
v3 #th: 3 ; #ch: 2 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  1.87682 s. ; Time/block:   2.18 ms.
v3 #th: 3 ; #ch: 3 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  1.94133 s. ; Time/block:   2.26 ms.
v3 #th: 3 ; #ch: 4 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  3.75555 s. ; Time/block:   4.37 ms.
v3 #th: 3 ; #ch: 8 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  5.72351 s. ; Time/block:   6.66 ms.
v3 #th: 3 ; #ch: 12 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  7.60584 s. ; Time/block:   8.85 ms.
v3 #th: 3 ; #ch: 16 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 11.36195 s. ; Time/block:  13.23 ms.
v3 #th: 3 ; #ch: 20 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 13.34321 s. ; Time/block:  15.53 ms.
v3 #th: 3 ; #ch: 24 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 15.26917 s. ; Time/block:  17.78 ms.
v3 #th: 3 ; #ch: 28 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 19.06255 s. ; Time/block:  22.19 ms.
v3 #th: 3 ; #ch: 32 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 20.91054 s. ; Time/block:  24.34 ms.
v3 #th: 3 ; #ch: 36 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 22.84038 s. ; Time/block:  26.59 ms.
v3 #th: 3 ; #ch: 40 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 26.60138 s. ; Time/block:  30.97 ms.
