v3 #th: 1 ; #ch: 1 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  2.04305 s. ; Time/block:   2.38 ms.
v3 #th: 1 ; #ch: 2 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  3.91413 s. ; Time/block:   4.56 ms.
v3 #th: 1 ; #ch: 3 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  5.88079 s. ; Time/block:   6.85 ms.
v3 #th: 1 ; #ch: 4 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time:  7.86255 s. ; Time/block:   9.15 ms.
v3 #th: 1 ; #ch: 8 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 15.66719 s. ; Time/block:  18.24 ms.
v3 #th: 1 ; #ch: 12 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 23.44321 s. ; Time/block:  27.29 ms.
v3 #th: 1 ; #ch: 16 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 31.30317 s. ; Time/block:  36.44 ms.
v3 #th: 1 ; #ch: 20 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 39.06039 s. ; Time/block:  45.47 ms.
v3 #th: 1 ; #ch: 24 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 46.98415 s. ; Time/block:  54.70 ms.
v3 #th: 1 ; #ch: 28 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 54.81676 s. ; Time/block:  63.81 ms.
v3 #th: 1 ; #ch: 32 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 62.47060 s. ; Time/block:  72.72 ms.
v3 #th: 1 ; #ch: 36 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 70.29973 s. ; Time/block:  81.84 ms.
v3 #th: 1 ; #ch: 40 ; #blocks: 859 ; bsize: 1024 ; nb: 88000; #samples: 880000 ; Tot time: 78.10955 s. ; Time/block:  90.93 ms.
